ProteinAccessions,gene,PG.ProteinDescriptions,PG.Organisms,iBAQ_mean_male,iBAQ_mean_female,iBAQ_mean_all_1_10
P62827,Ran,GTP-binding nuclear protein Ran,Mus musculus,59171.9594,35243.7004,47207.8299
P62843,Rps15,Small ribosomal subunit protein uS19,Mus musculus,1423.3500000000001,NA,1423.3500000000001
P62849,Rps24,Small ribosomal subunit protein eS24,Mus musculus,NA,NA,NA
P62852,Rps25,Small ribosomal subunit protein eS25,Mus musculus,23088.9198,28368.57425,25435.43288888889
P62858,Rps28,Small ribosomal subunit protein eS28,Mus musculus,26517.6398,23218.48,24868.0599
P62869,Elob,Elongin-B,Mus musculus,5978.200000000001,4505.4,4926.2
P62874,Gnb1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,Mus musculus,2092.32,960.9200000000001,1526.62
P62878,Rbx1,E3 ubiquitin-protein ligase RBX1,Mus musculus,10591.5,4992.333333333333,6392.125
P62892,Rpl39,Large ribosomal subunit protein eL39,Mus musculus,7248,7274.424999999999,7261.2125
P62897,Cycs,"Cytochrome c, somatic",Mus musculus,52008.3398,55899.2398,53953.7898
P62908,Rps3,Small ribosomal subunit protein uS3,Mus musculus,30720.5202,26647.0004,28683.760299999998
P62960,Ybx1,Y-box-binding protein 1,Mus musculus,2418.88,1972.9,2195.89
P62962,Pfn1,Profilin-1,Mus musculus,448356.6,546650.5812,497503.5906
P62965,Crabp1,Cellular retinoic acid-binding protein 1,Mus musculus,1260.4,NA,1260.4
P63001,Rac1,Ras-related C3 botulinum toxin substrate 1,Mus musculus,61315.65900000001,36547.94,48931.7995
P63005,Pafah1b1,Platelet-activating factor acetylhydrolase IB subunit beta,Mus musculus,18617.6198,9950.2,14283.9099
P63017,Hspa8,Heat shock cognate 71 kDa protein,Mus musculus,80618.6814,56837.4998,68728.0906
P63028,Tpt1,Translationally-controlled tumor protein,Mus musculus,17686.12525,12561.4198,14839.066666666668
P63038,Hspd1,"60 kDa heat shock protein, mitochondrial",Mus musculus,2397.2200000000003,2601.86,2499.54
P63073,Eif4e,Eukaryotic translation initiation factor 4E,Mus musculus,441.9,NA,441.9
P63085,Mapk1,Mitogen-activated protein kinase 1,Mus musculus,2122.98,1662.02,1892.5
P63094;Q6R0H7,Gnas,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,Mus musculus,1357.64,825.22,1091.43
P63101,Ywhaz,14-3-3 protein zeta/delta,Mus musculus,105824.8812,114250.8796,110037.8804
P63147,Ube2b,Ubiquitin-conjugating enzyme E2 B,Mus musculus,1765.5,NA,1765.5
P63158,Hmgb1,High mobility group protein B1,Mus musculus,2578.7799999999997,902.45,1833.7444444444445
P63242;Q8BGY2,Eif5a;Eif5a2,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2,Mus musculus,26921.759400000003,18682.8602,22802.3098
P63280,Ube2i,SUMO-conjugating enzyme UBC9,Mus musculus,227.3,1525.04,1308.75
P63323,Rps12,Small ribosomal subunit protein eS12,Mus musculus,2472.75,2973.48,2750.9333333333334
P63325,Rps10,Small ribosomal subunit protein eS10,Mus musculus,13930.1204,8769.82,11349.9702
P63328,Ppp3ca,Protein phosphatase 3 catalytic subunit alpha,Mus musculus,14626.98,263537.52999999997,139082.255
P67778,Phb1,Prohibitin 1,Mus musculus,1409.02,1667.78,1538.3999999999999
P67984,Rpl22,Large ribosomal subunit protein eL22,Mus musculus,18848.0798,21189.2598,20018.6698
P68033,Actc1,"Actin, alpha cardiac muscle 1",Mus musculus,3877674.05,5003649.55,4440661.8
P68037,Ube2l3,Ubiquitin-conjugating enzyme E2 L3,Mus musculus,15442.460000000001,19979.333333333332,17143.7875
P68040,Rack1,Small ribosomal subunit protein RACK1,Mus musculus,8051.0199999999995,7428.4800000000005,7739.75
P68134,Acta1,"Actin, alpha skeletal muscle",Mus musculus,9340.6,3182.6,6261.6
P68254,Ywhaq,14-3-3 protein theta,Mus musculus,3016.54,2767.2799999999997,2891.91
P68368,Tuba4a,Tubulin alpha-4A chain,Mus musculus,29887.5802,39954.219,34920.8996
P68372,Tubb4b,Tubulin beta-4B chain,Mus musculus,197643.7376,116868.9388,157256.3382
P68510,Ywhah,14-3-3 protein eta,Mus musculus,10400.000199999999,7948.72,9174.3601
P70124,Serpinb5,Serpin B5,Mus musculus,11942.82,11517.159800000001,11729.9899
P70158,Smpdl3a,Cyclic GMP-AMP phosphodiesterase SMPDL3A,Mus musculus,130931.1578,294106.5466,212518.8522
P70168,Kpnb1,Importin subunit beta-1,Mus musculus,3593.08,2520.5,3056.79
P70195,Psmb7,Proteasome subunit beta type-7,Mus musculus,4311,NA,4311
P70248,Myo1f,Unconventional myosin-If,Mus musculus,541.42,1378.6000000000001,960.01
P70269,Ctse,Cathepsin E,Mus musculus,2573.5,NA,2573.5
P70274,Selenop,Selenoprotein P,Mus musculus,11603.48,4859.36,8231.42
P70277,St6galnac2,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",Mus musculus,272265.0406,25055.4196,148660.2301
P70290,Mpp1,55 kDa erythrocyte membrane protein,Mus musculus,9744.95,NA,9744.95
P70296,Pebp1,Phosphatidylethanolamine-binding protein 1,Mus musculus,61764.6194,20460.1806,41112.4
P70302,Stim1,Stromal interaction molecule 1,Mus musculus,127.36000000000001,187.33333333333334,149.85
P70315,Was,Actin nucleation-promoting factor WAS,Mus musculus,1537.06,1713.32,1625.19
P70335,Rock1,Rho-associated protein kinase 1,Mus musculus,164.64000000000001,175.95,169.66666666666666
P70349,Hint1,Adenosine 5'-monophosphoramidase HINT1,Mus musculus,34068.199400000005,21154.499799999998,27611.3496
P70362,Ufd1,Ubiquitin recognition factor in ER-associated degradation protein 1,Mus musculus,3138.88,2831.68,2985.2799999999997
P70372,Elavl1,ELAV-like protein 1,Mus musculus,2604.1,1557.62,2080.86
P70389,Igfals,Insulin-like growth factor-binding protein complex acid labile subunit,Mus musculus,25612.3406,7944.8,16778.5703
P70404,Idh3g,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial",Mus musculus,78.1,64,71.05
P70419,Galnt3,Polypeptide N-acetylgalactosaminyltransferase 3,Mus musculus,2749.26,2142.58,2445.92
P70441,Nherf1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,Mus musculus,17752.4002,17969.0602,17860.7302
P70444,Bid,BH3-interacting domain death agonist,Mus musculus,NA,496.3,496.3
P70460,Vasp,Vasodilator-stimulated phosphoprotein,Mus musculus,4139.16,6477.38,5308.27
P70665,Siae,Sialate O-acetylesterase,Mus musculus,2080.94,2191.84,2136.39
P70670;Q60817,Naca,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",Mus musculus,4497.85,3375.62,3696.2571428571428
P70695,Fbp2,"Fructose-1,6-bisphosphatase isozyme 2",Mus musculus,928.9,NA,928.9
P70697,Urod,Uroporphyrinogen decarboxylase,Mus musculus,1547.7,NA,1547.7
P70699,Gaa,Lysosomal alpha-glucosidase,Mus musculus,2877.32,3206.96,3042.14
P80313,Cct7,T-complex protein 1 subunit eta,Mus musculus,3600.98,3879.86,3740.42
P80314,Cct2,T-complex protein 1 subunit beta,Mus musculus,1159.16,1381.88,1270.52
P80315,Cct4,T-complex protein 1 subunit delta,Mus musculus,4471.68,4829.92,4650.8
P80316,Cct5,T-complex protein 1 subunit epsilon,Mus musculus,1004.0250000000001,483.375,743.7
P80317,Cct6a,T-complex protein 1 subunit zeta,Mus musculus,3912.3599999999997,2414.7,3163.5299999999997
P80318,Cct3,T-complex protein 1 subunit gamma,Mus musculus,2138.92,1879.44,2009.18
P80560,Ptprn2,Receptor-type tyrosine-protein phosphatase N2,Mus musculus,1282.4,2695.56,1988.98
P81117,Nucb2,Nucleobindin-2,Mus musculus,4104574.65,2930352.6,3517463.625
P82198,Tgfbi,Transforming growth factor-beta-induced protein ig-h3,Mus musculus,1831.6,59.5,945.55
P84075;Q91X97,Hpca;Ncald,Neuron-specific calcium-binding protein hippocalcin;Neurocalcin-delta,Mus musculus,1327.3,946.1,1136.7
P84084,Arf5,ADP-ribosylation factor 5,Mus musculus,2961.375,3309.4333333333334,3110.5428571428574
P84089,Erh,Enhancer of rudimentary homolog,Mus musculus,5195.9800000000005,5295.16,5245.57
P84091,Ap2m1,AP-2 complex subunit mu,Mus musculus,2833.32,1304.06,2068.69
P84096,Rhog,Rho-related GTP-binding protein RhoG,Mus musculus,3134.46,3393.675,3249.6666666666665
P84099,Rpl19,Large ribosomal subunit protein eL19,Mus musculus,807.25,1251.4,955.3000000000001
P84104,Srsf3,Serine/arginine-rich splicing factor 3,Mus musculus,12059.28,8302.02,10180.65
P97290,Serping1,Plasma protease C1 inhibitor,Mus musculus,70875.76239999999,10755.06,40815.411199999995
P97298,Serpinf1,Pigment epithelium-derived factor,Mus musculus,22623.260599999998,8191.52,15407.3903
P97315,Csrp1,Cysteine and glycine-rich protein 1,Mus musculus,1656.9666666666667,393.5,934.9857142857143
P97347,Rptn,Repetin,Mus musculus,43860.5806,44921.140999999996,44390.860799999995
P97350,Pkp1,Plakophilin-1,Mus musculus,7405.16,9672.58,8538.87
P97351,Rps3a,Small ribosomal subunit protein eS1,Mus musculus,4463.5199999999995,3289.5,3876.51
P97352,S100a13,Protein S100-A13,Mus musculus,2243.9,1380.5,1997.2142857142858
P97361,Bpifa1,BPI fold-containing family A member 1,Mus musculus,2169668.85,2613584.1406,2391626.4953
P97369,Ncf4,Neutrophil cytosol factor 4,Mus musculus,8823.96,15503.6796,12163.8198
P97371,Psme1,Proteasome activator complex subunit 1,Mus musculus,23145.9996,18183.2198,20664.6097
P97372,Psme2,Proteasome activator complex subunit 2,Mus musculus,3695.6600000000003,2319.7799999999997,3007.7200000000003
P97384,Anxa11,Annexin A11,Mus musculus,11594.2602,13700.74,12647.500100000001
P97429,Anxa4,Annexin A4,Mus musculus,2185.56,1267.84,1726.7
P97430,Slpi,Antileukoproteinase,Mus musculus,46993.9592,50654.220199999996,48824.0897
P97447,Fhl1,Four and a half LIM domains protein 1,Mus musculus,9996.4,NA,9996.4
P97449,Anpep,Aminopeptidase N,Mus musculus,22761.3598,23944.74,23353.049899999998
P97450,Atp5pf,"ATP synthase-coupling factor 6, mitochondrial",Mus musculus,1337.6,1422.7,1371.6399999999999
P97457,Myl11,Myosin regulatory light chain 11,Mus musculus,3378.8,11661.6,6139.733333333334
P97467,Pam,Peptidyl-glycine alpha-amidating monooxygenase,Mus musculus,180177.2984,257977.0218,219077.1601
P97494,Gclc,Glutamate--cysteine ligase catalytic subunit,Mus musculus,8759.6995,683.8,6067.733
P97797,Sirpa,Tyrosine-protein phosphatase non-receptor type substrate 1,Mus musculus,938.15,1702.35,1192.8833333333332
P97802,Ang3,Angiogenin-3,Mus musculus,13071.1,10957.533333333335,11485.925000000001
P97805,Fam3d,Protein FAM3D,Mus musculus,440439.2408,539687.5248,490063.3828
P97821,Ctsc,Dipeptidyl peptidase 1,Mus musculus,56985.5002,57108.6992,57047.0997
P97823,Lypla1,Acyl-protein thioesterase 1,Mus musculus,682.2,756.2,719.2
P97861;Q9ERE2,Krt86;Krt81,"Keratin, type II cuticular Hb6;Keratin, type II cuticular Hb1",Mus musculus,39024.5392,23912.3604,31468.4498
P98064,Masp1,Mannan-binding lectin serine protease 1,Mus musculus,6164.8,2383.4333333333334,3328.775
P98086,C1qa,Complement C1q subcomponent subunit A,Mus musculus,4002.7,NA,4002.7
P99024,Tubb5,Tubulin beta-5 chain,Mus musculus,10307.92,11786.54,11047.23
P99026,Psmb4,Proteasome subunit beta type-4,Mus musculus,3481.425,8399.15,5940.2875
P99027,Rplp2,Large ribosomal subunit protein P2,Mus musculus,54099.5204,33575.5798,43837.5501
P99029,Prdx5,"Peroxiredoxin-5, mitochondrial",Mus musculus,208216.4,344266.5248,276241.4624
Q00493,Cpe,Carboxypeptidase E,Mus musculus,129633.9202,192075.4406,160854.6804
Q00519,Xdh,Xanthine dehydrogenase/oxidase,Mus musculus,3791.52,4836.78,4314.15
Q00560,Il6st,Interleukin-6 receptor subunit beta,Mus musculus,1350.7,2487.84,1919.27
Q00612,G6pdx,Glucose-6-phosphate 1-dehydrogenase X,Mus musculus,48078.6194,69219.3018,58648.9606
Q00623,Apoa1,Apolipoprotein A-I,Mus musculus,5102229.5812,655448.1002,2878838.8407
Q00724,Rbp4,Retinol-binding protein 4,Mus musculus,18965.1996,2927.72,10946.4598
Q00731,Vegfa,"Vascular endothelial growth factor A, long form",Mus musculus,9278.1,9178.56,9228.33
Q00896,Serpina1c,Alpha-1-antitrypsin 1-3,Mus musculus,2741531.225,324822.3188,1533176.7719
Q00897,Serpina1d,Alpha-1-antitrypsin 1-4,Mus musculus,344626.225,91314.1002,217970.1626
Q00898,Serpina1e,Alpha-1-antitrypsin 1-5,Mus musculus,112750.98100000001,6217.275,65402.66722222222
Q00PI9,Hnrnpul2,Heterogeneous nuclear ribonucleoprotein U-like protein 2,Mus musculus,711.8599999999999,871.3399999999999,791.5999999999999
Q01149,Col1a2,Collagen alpha-2(I) chain,Mus musculus,1520.5,228.8,1036.1125
Q01279,Egfr,Epidermal growth factor receptor,Mus musculus,26000.8796,14414.779999999999,20207.8298
Q01339,Apoh,Beta-2-glycoprotein 1,Mus musculus,26201.160399999997,3315.52,14758.3402
Q01721,Gas1,Growth arrest-specific protein 1,Mus musculus,1070.975,403.82,700.3333333333334
Q01730,Rsu1,Ras suppressor protein 1,Mus musculus,8083.4402,6574.72,7329.0801
Q01768,Nme2,Nucleoside diphosphate kinase B,Mus musculus,14056.98,17085.7,15571.339999999998
Q01853,Vcp,Transitional endoplasmic reticulum ATPase,Mus musculus,56239.92,33569.7402,44904.8301
Q02013,Aqp1,Aquaporin-1,Mus musculus,4024.3,NA,4024.3
Q02053,Uba1,Ubiquitin-like modifier-activating enzyme 1,Mus musculus,10221.78,7594.22,8908
Q02105,C1qc,Complement C1q subcomponent subunit C,Mus musculus,12236.1,802.2,6519.15
Q02248,Ctnnb1,Catenin beta-1,Mus musculus,520.4,412.875,458.95714285714286
Q02257,Jup,Junction plakoglobin,Mus musculus,88801.84,68007.3202,78404.5801
Q02357,Ank1,Ankyrin-1,Mus musculus,11740.867,NA,11740.867
Q02566,Myh6,Myosin-6,Mus musculus,65.83333333333333,60.94,62.775
Q02819,Nucb1,Nucleobindin-1,Mus musculus,1071056.7376,1040332.2876,1055694.5126
Q03265,Atp5f1a,"ATP synthase subunit alpha, mitochondrial",Mus musculus,33024.08,38265.1598,35644.6199
Q03311,Bche,Cholinesterase,Mus musculus,2237.66,2776.5,2507.08
Q03401,Crisp1,Cysteine-rich secretory protein 1,Mus musculus,24917385,20550196.4,22733790.7
Q03402,Crisp3,Cysteine-rich secretory protein 3,Mus musculus,401785.1376,463675.2186,432730.1781
Q03404,Tff2,Trefoil factor 2,Mus musculus,19627.90025,41884.6994,31992.788666666667
Q03734,Serpina3m,Serine protease inhibitor A3M,Mus musculus,1502551.3,254957.63460000002,878754.4673
Q03958,Pfdn6,Prefoldin subunit 6,Mus musculus,3893.1400000000003,2162.44,3027.79
Q04447,Ckb,Creatine kinase B-type,Mus musculus,63254.599,866.5,38299.3594
Q04519,Smpd1,Sphingomyelin phosphodiesterase,Mus musculus,14042.3402,21756.8406,17899.5904
Q05020,Apoc2,Apolipoprotein C-II,Mus musculus,37185.549,2450.3,25607.132666666665
Q05117,Acp5,Tartrate-resistant acid phosphatase type 5,Mus musculus,133348.9014,195617.5014,164483.20140000002
Q05144,Rac2,Ras-related C3 botulinum toxin substrate 2,Mus musculus,4572.84,7568.7802,6070.8101
Q05186,Rcn1,Reticulocalbin-1,Mus musculus,63803.3596,35021.2398,49412.2997
Q05816,Fabp5,Fatty acid-binding protein 5,Mus musculus,782748.8688,749171.1812,765960.025
Q05BC3,Eml1,Echinoderm microtubule-associated protein-like 1,Mus musculus,1223.8,NA,1223.8
Q06138,Cab39,Calcium-binding protein 39,Mus musculus,1505.04,1244.56,1374.8
Q06185,Atp5me,"ATP synthase subunit e, mitochondrial",Mus musculus,5726.766666666666,3918.86,4596.825
Q06318,Scgb1a1,Uteroglobin,Mus musculus,2229472.2164,3568491.4874,2898981.8519
Q06335,Aplp2,Amyloid beta precursor like protein 2,Mus musculus,342.34000000000003,283.22499999999997,316.06666666666666
Q06770,Serpina6,Corticosteroid-binding globulin,Mus musculus,36376.66766666667,8910.34,19210.212875
Q06890,Clu,Clusterin,Mus musculus,229348.2422,124984.4992,177166.3707
Q07076,Anxa7,Annexin A7,Mus musculus,3630.1,2119.6,2874.85
Q07113,Igf2r,Cation-independent mannose-6-phosphate receptor,Mus musculus,2324.56,1959.3400000000001,2141.95
Q07235,Serpine2,Glia-derived nexin,Mus musculus,59864.68,34446.4596,47155.5698
Q07456,Ambp,Protein AMBP,Mus musculus,22185.0396,3997.22,13091.1298
Q07797,Lgals3bp,Galectin-3-binding protein,Mus musculus,65252.720799999996,130911.45939999999,98082.0901
Q07813,Bax,Apoptosis regulator BAX,Mus musculus,5939.4,3937.625,4938.5125
Q07968,F13b,Coagulation factor XIII B chain,Mus musculus,3212.8,NA,3212.8
Q08093,Cnn2,Calponin-2,Mus musculus,3437.5,3268.1,3352.7999999999997
Q08189,Tgm3,Protein-glutamine gamma-glutamyltransferase E,Mus musculus,126250.0624,121271.2,123760.6312
Q08331,Calb2,Calretinin,Mus musculus,78026.8985,3813.166666666667,33498.6594
Q08642,Padi2,Protein-arginine deiminase type-2,Mus musculus,2430.25,1483.5,1956.875
Q08652,Rbp2,Retinol-binding protein 2,Mus musculus,1871.48,1918.925,1892.5666666666666
Q08761,Pros1,Vitamin K-dependent protein S,Mus musculus,654.0600000000001,459.4,581.0625
Q08857,Cd36,Platelet glycoprotein 4,Mus musculus,1893.0333333333333,745.45,1434
Q08879,Fbln1,Fibulin-1,Mus musculus,1322.5,NA,1322.5
Q08890,Ids,Iduronate 2-sulfatase,Mus musculus,2486.94,5673.3,4080.12
Q09014,Ncf1,Neutrophil cytosol factor 1,Mus musculus,3043.42,8763.42,5903.42
Q09199,B4galnt2,"Beta-1,4 N-acetylgalactosaminyltransferase 2",Mus musculus,31509.1202,11965.1202,21737.1202
Q09200,B4galnt1,"Beta-1,4 N-acetylgalactosaminyltransferase 1",Mus musculus,14536.1998,12404.32,13470.259900000001
Q09324,Gcnt1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",Mus musculus,66174.1588,64069.0186,65121.5887
Q09PK2,Asprv1,Retroviral-like aspartic protease 1,Mus musculus,2245.2749999999996,5649.38,4136.444444444444
Q0VBK2,Krt80,"Keratin, type II cytoskeletal 80",Mus musculus,8292.52,12768.02,10530.27
Q11011,Npepps,Puromycin-sensitive aminopeptidase,Mus musculus,3600.46,3662.18,3631.32
Q11136,Pepd,Xaa-Pro dipeptidase,Mus musculus,3563.16,2713.1,3138.13
Q19LI2,A1bg,Alpha-1B-glycoprotein,Mus musculus,NA,63733,63733
Q1XH17,Trim72,Tripartite motif-containing protein 72,Mus musculus,1597.6,NA,1597.6
Q2VIS4,Flg2,Filaggrin-2,Mus musculus,1513.1,1026.78,1269.94
Q3B7Z2,Osbp,Oxysterol-binding protein 1,Mus musculus,1177.0333333333333,381.925,722.6857142857143
Q3MI99,Ccbe1,Collagen and calcium-binding EGF domain-containing protein 1,Mus musculus,2639.52,1685.925,2215.7
Q3TA59,Jmjd8,JmjC domain-containing protein 8,Mus musculus,51214.979,34167.1,42691.0395
Q3TCH7,Cul4a,Cullin-4A,Mus musculus,278.4,NA,278.4
Q3TCN2,Plbd2,Putative phospholipase B-like 2,Mus musculus,5556.46,5074.22,5315.34
Q3THE2,Myl12b,Myosin regulatory light chain 12B,Mus musculus,50144.6204,58547.8396,54346.229999999996
Q3THS6,Mat2a,S-adenosylmethionine synthase isoform type-2,Mus musculus,1340.8,NA,1340.8
Q3TJM4,Cenpt,Centromere protein T,Mus musculus,14412.2796,4879.54,9645.9098
Q3TMH2,Scrn3,Secernin-3,Mus musculus,2770.7,NA,2770.7
Q3TMX7,Qsox2,Sulfhydryl oxidase 2,Mus musculus,5374.66,5530.86,5452.76
Q3TRM8,Hk3,Hexokinase-3,Mus musculus,3722.5,7449.9,5586.2
Q3TTY5,Krt2,"Keratin, type II cytoskeletal 2 epidermal",Mus musculus,243758.7782,339890.5406,291824.6594
Q3TUA9,Pomk,Protein O-mannose kinase,Mus musculus,262.3333333333333,231.8,254.7
Q3TW96,Uap1l1,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,Mus musculus,2471.94,4282.78,3377.3599999999997
Q3TYQ9,Aox4,Aldehyde oxidase 4,Mus musculus,15490.6202,9555.08,12522.8501
Q3U0B3,Dhrs11,Dehydrogenase/reductase SDR family member 11,Mus musculus,40893.7208,34113.433,38351.112875
Q3U0P5,Entpd6,Ectonucleoside triphosphate diphosphohydrolase 6,Mus musculus,1543.02,2016.24,1779.63
Q3U0V1,Khsrp,Far upstream element-binding protein 2,Mus musculus,1418.06,1188.36,1303.21
Q3U1J4,Ddb1,DNA damage-binding protein 1,Mus musculus,412.125,286.83333333333337,358.42857142857144
Q3U2V3,Nudt18,8-oxo-dGDP phosphatase NUDT18,Mus musculus,1660.8,2648.5,2154.65
Q3U4G3,Xxylt1,Xyloside xylosyltransferase 1,Mus musculus,3517.38,1718.5,2617.94
Q3U7R1,Esyt1,Extended synaptotagmin-1,Mus musculus,388.7,431.40000000000003,413.1
Q3U9G9,Lbr,Delta(14)-sterol reductase LBR,Mus musculus,3424.98,6028.76,4726.87
Q3UBX0,Tmem109,Voltage-gated monoatomic cation channel TMEM109,Mus musculus,10944.12,4655.82,7799.97
Q3UDR8,Yipf3,Protein YIPF3,Mus musculus,36321.2602,30104.019800000002,33212.64
Q3UGC7;Q66JS6,Eif3j1;Eif3j2,Eukaryotic translation initiation factor 3 subunit J-A;Eukaryotic translation initiation factor 3 subunit J-B,Mus musculus,1400.1,58.4,952.8666666666667
Q3UGR5,Hdhd2,Haloacid dehalogenase-like hydrolase domain-containing protein 2,Mus musculus,5642.8,4785.2,5214
Q3UHH8,Gxylt1,Glucoside xylosyltransferase 1,Mus musculus,1584.1399999999999,4174.68,2879.41
Q3UHN9,Ndst1,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1,Mus musculus,2345.9,3857.72,3101.81
Q3UHU5,Mtcl1,Microtubule cross-linking factor 1,Mus musculus,1525.42,2050.9,1788.16
Q3UI43,Babam1,BRISC and BRCA1-A complex member 1,Mus musculus,218.7,227.15,222.92499999999998
Q3UJB0,Sf3b2,Splicing factor 3B subunit 2,Mus musculus,101.55,190.7,165.22857142857143
